dataset,model,fold,n_train,n_test,mae,rmse,r2,fit_predict_ms
airroi_benchmark_usd,B0_geo_median,1,22909,5852,72.44858168147641,163.71173970329085,-0.06269692267669513,11.903
airroi_benchmark_usd,B1_linear_regression,1,22909,5852,68.40893728023508,138.3297337244887,0.24128117863037069,560.742
airroi_benchmark_usd,B0_geo_median,2,23073,5688,91.02324191279887,215.10553716781249,-0.13550479681022587,21.874
airroi_benchmark_usd,B1_linear_regression,2,23073,5688,68.3953412296057,155.939224570442,0.40324435784910717,601.416
airroi_benchmark_usd,B0_geo_median,3,23073,5688,99.10794655414908,234.7713816654104,-0.1113370086135288,7.812
airroi_benchmark_usd,B1_linear_regression,3,23073,5688,63.76789841994064,159.46395931944159,0.4872796544974044,404.086
airroi_benchmark_usd,B0_geo_median,4,22911,5850,67.64135042735043,137.62831125836377,-0.07430152764359588,11.137
airroi_benchmark_usd,B1_linear_regression,4,22911,5850,54.914185174852925,102.01403643355997,0.40975747606098645,474.447
airroi_benchmark_usd,B0_geo_median,5,23078,5683,78.81490409994721,165.81628035221206,-0.10766021874636111,11.106
airroi_benchmark_usd,B1_linear_regression,5,23078,5683,57.69484865404149,104.74492083370596,0.5580041753080236,389.623
kostara_local_idr,B0_geo_median,1,32,8,300000.0,306186.21784789726,-0.006711409395973256,1.773
kostara_local_idr,B1_linear_regression,1,32,8,413393.34511774825,454894.0485301263,-1.2220520310134648,40.253
kostara_local_idr,B0_geo_median,2,31,9,105555.55555555556,130170.82793177757,-0.04770992366412208,1.63
kostara_local_idr,B1_linear_regression,2,31,9,147144.3692102352,167406.12110885294,-0.7328317253142493,42.897
kostara_local_idr,B0_geo_median,3,31,9,133333.33333333334,152752.52316519467,-0.021621621621621623,2.847
kostara_local_idr,B1_linear_regression,3,31,9,64139.961429845505,75643.43182029831,0.7494723075774476,42.542
kostara_local_idr,B0_geo_median,4,33,7,457142.85714285716,598808.3404324197,-1.3969986357435196,5.365
kostara_local_idr,B1_linear_regression,4,33,7,508433.59171757725,640974.0726687446,-1.7464584351765757,37.622
kostara_local_idr,B0_geo_median,5,33,7,128571.42857142857,151185.7892036909,-2.612903225806451,4.204
kostara_local_idr,B1_linear_regression,5,33,7,127665.41129171652,159799.0564377617,-3.0362941402630588,27.037
